timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,LG:,"Please, I really need it.",yaleyounger,,,
,DB:,Okay.,yaleyounger,,,
,LG:,I'll acknowledge you.,yaleyounger,,,
,DB:,Is it coming out of FSG?,yaleyounger,,,
,LG:,"Yeah, but not for awhile.",yaleyounger,,,
,DB:,Not for awhile. You've got this next book.,yaleyounger,,,
,LG:,Yeah.,yaleyounger,,,
,DB:,"Okay. Well, that was the first question.",yaleyounger,,,
,LG:,That was the first? What was that about? It wasn't about digital anything!,yaleyounger,,,
,DB:,"No, it was just general. I went to AWP this year which was terrifying.",yaleyounger,,,
,LG:,I've never been.,yaleyounger,,,
,DB:,"Yeah, you should never go.",yaleyounger,,,
,LG:,That's sort of what I think.,yaleyounger,,,
,DB:,But there was a panel with Richard Siken and&#8212;who were the other two?&#8212;,yaleyounger,,,
,LG:,Arda Collins?,yaleyounger,,,
,DB:,Arda Collins and&#8212;,yaleyounger,,,
,LG:,Fady Joudah?,yaleyounger,,,
,DB:,"Exactly, and they were talking. I caught the second half, so I heard Siken talking about his working with you on <em>Crush</em>, which was really funny. He's funny. I didn't know how funny he was. The book is pretty intense but&#8212;",yaleyounger,,,
,LG:,Right. And he's a great visual artist.,yaleyounger,,,
[00:12:02],DB:,Oh yeah? Oh! I like that.,yaleyounger,,499,0:08:19
,LG:,I think he's amazing.,yaleyounger,,,
,DB:,Yeah.,yaleyounger,,,
,LG:,"He made these envelopes because he thought he was going to be living in Europe, and so he made&#8212;that one's wonderful&#8212;all of these things. And, you know, the message was the envelope. I don't know how you can frame them.",yaleyounger,,,
,DB:,"Yeah, who knows? They're very nice.",yaleyounger,,,
,LG:,Aren't they wonderful?,yaleyounger,,,
,DB:,Yeah. He has another book coming out too.,yaleyounger,,,
,LG:,"Yeah, he does, which I saw a long time ago. And Peter Streckfus has a new book, and it's wonderful.",yaleyounger,,,
,DB:,I really love his first book.,yaleyounger,,,
,LG:,"I love that book. I love that book and I just think he's an amazement. And Jay Hopler has a new book that he's peddling. Those first three I worked with really closely on the first books, and with Peter and Jay, I worked a lot on the second, too. With Richard, much less. I mean, it's funny because he needed a lot of editing. His poems were way too long, and his stanzas were too long. The lines were too long. But you had to preserve that avalanche sense&#8212;that headlong sense&#8212;and so it was very hard to figure out. But once he saw a way of approaching the language to edit it and still preserve its character, he was an excellent editor. And he may feel that he just knows how to do it on his own. I mean, we talk on the phone and I saw early versions of a lot of the poems.",yaleyounger,,,
,DB:,"Yeah, and <em>Crush</em> has become sort of a phenomenon.",yaleyounger,,,
,LG:,"A cult book, I know.",yaleyounger,,,
[00:14:52],DB:,"It's interesting. I mean, I remember I first heard about it at Bread Loaf that year. I was there and somebody said like, ""Have you read <em>Crush</em>?""  I was like, ""No, I'm sorry."" And then I caught it. We know the MFA students at Idaho, and some of them are teaching it. And the guy who was actually working for me in Digital based the final poem in his thesis off those lines and that sort of stanza style.",yaleyounger,,669,0:11:09
,LG:,"Well, a lot of people sound like him. You can see, they read the book and then they can't get out of it.",yaleyounger,,,
,DB:,"Yeah, that's the danger.",yaleyounger,,,
,LG:,That's hard.,yaleyounger,,,
[00:15:31],DB:,"So your primary genre is poetry, correct? What kinds of devices do you have access to or use for writing?",,,708,0:11:48
,LG:,"I have access to an iPad&#8212;but I have never written anything on it except a terse email. And I cannot bear reading poems in that form. In fact today, there was a conversation with my publisher because I finally figured out a way&#8212;to their satisfaction&#8212;to convert their poetry listings to ebooks. The question was, would I give my permission. But I cannot bear reading poems in that form&#8212;scrolling down a page. You have no idea how long the thing is. You don't know whether you're in the middle or at the end.",highlight;printdig,,,
,,"Miranda, who is my ""daily editor,"" not my ""big guy"" editor, who was a student of mine at Yale&#8212;you know, it's very funny. I have all these students now in positions of&#8212;I hesitate to say ""authority""&#8212;but I turn to them for solace and advice all the time. Miranda is quite great and her judgment is wonderful. And she was a wonderful beginning writer, too. Anyway, she said she thought it was a good idea. She said for people who are used to reading in this form, it's not such a violation. But it makes me uneasy. For example, when I was in Stanford and friends would send me drafts of poems as we do&#8212;as I do through the mail, or at Stanford, I would give something to a secretary&#8212;but I just have to go to someone who can print it out.",highlight;printdig;paper,,,
,DB:,Print it out on paper.,highlight;printdig;paper,,,
[00:18:18],LG:,"Yeah. Well, I have to be able to move my pen around and make notes, first of all. I have to see what it looks like, what the duration is, and I have to be able to read the beginning and the end&#8212;I have to have it all in my head. Mainly it's that I don't know how to make notes otherwise. But I have this [iPad] that gives me fantastic pleasure in other ways. I love it and it's an endless amusement. I keep it very near my bed, or on my bed. If I wake in the middle of the night, I turn on the light and I see if anybody is writing to me. I always loved getting mail, and now I have that experience around the clock&#8212;except that I check it every four minutes, and I'm so heartbroken when there's no change. It's just that same old email from Amazon or some website that I patronized once. I have a regular old fashioned cell phone. I only got a cell phone about five years ago because I'm taxi-dependent and I needed to be on the street and calling the guy. So it doesn't receive emails or anything like that.",highlight;printdig;paper,,875,0:14:35
,DB:,"It's a regular iPad? Just, like, the first?",,,,
,LG:,No&#8212;,,,,
,DB:,The larger one or the smaller one?,,,,
,LG:,The iPad that I have?,,,,
,DB:,Yeah.,,,,
,LG:,"I'll show you, because how it looks is part of its story.",,,,
,DB:,Okay.,,,,
,LG:,"Yeah, the little one&#8212;I don't know what size this is.",,,,
,DB:,"That's the regular size. They have the minis, now. That's the only kind of different size.",,,,
,LG:,"What happened was, I went to&#8212;some of this has to be off-the-record&#8212;this event. I was invited to this thing, the Golden Plate Award, sponsored-by/held-by something called ""The Academy of Achievement."" I mean, it sounds so spurious and ridiculous, but you showed up and you got $10,000. It was in Washington DC and the hotel was enormously swank&#8212;I mean, super swank. So I asked my agent to find out what was the fewest number of days I could go and still collect the fee, and it was one. So I scaled it way back, but then I found out when I arrived that the dinner the night before for the honorees had been in the Chambers of the Supreme Court with the Justices. Just the Justices and the honorees. I could've eaten dinner. This is the part that needs to be off the record.",highlight;career,,,
,DB:,Okay.,highlight;career,,,
,LG:,"[{off the record}] but anyway, when I arrived, part of my welcome package was this thing [iPad], and it was all programmed with the winners and their bios. The entertainment, the last night when we all got our plates&#8212;",highlight;career,,,
,DB:,You actually got gold plates?,highlight;career,,,
,LG:,"Yeah, I mean, the room was very, very good for a banquet meal. It was extraordinary. I mean, if you squared off this room, this is the whole thing. It certainly wasn't bigger. It might have been a little smaller. So picture an intimate space. I always want people to guess but it's ridiculous&#8212;what they are going to guess? It was like seeing Mozart: it was Aretha Franklin.",highlight;career,,,
,DB:,Really?,highlight;career,,,
,LG:,"Aretha! She was there right where the tulips are. So the whole thing was eerie. Anyway, the guy gave me this [iPad] when I arrived. I said, ""Don't give me this. I'm never going to use it. Give it to someone who can make use of it."" He said, ""I have to give it to you."" And I said, ""But I won't use it. I don't want it. I'll leave it in the hotel room. Please give it to someone else."" He said, ""I have to give it to you,"" and he thrust it at me and then I was holding it, and then I seemed to have it. So I took it to the hotel room and I'd seen how people push the screens so I pushed the screen. Nothing happened. I mean, it wasn't connected to anything, but I thought, ""I apparently don't have the gift."" So I then brought it home&#8212;well actually, I had somebody ship it to me&#8212;and then I kept looking at it and thinking, ""I guess now that I own this, I should learn how to use it."" But I lingered in that state for about six months and then at some point&#8212;I have former students from Yale I'm still in touch with, and the Yale students sometimes come up here to work on their stuff, and one did. And I said, ""What do I have to do to learn how to use this?"" He said, ""Well, you need to get Wi-Fi."" And I said, ""How do I do that? Do I call AT&amp;T? Do I call Comcast?"" He said, ""Call Comcast."" So I called Comcast and they asked me questions I couldn't answer. ""Do you have a blank?  Do you blank-blank?""  I said, ""I know nothing. You have to just assume I have nothing.""",highlight;career,,,
,,"I thought, ""This is not going to work."" It wasn't working, so I called the student back and said, ""Write me a script. Here's the kinds of things I was asked&#8212;tell me what I say."" So I went back and I recited my script. Someone came to the house and installed a device. No one had told me that it had this little strobe flickers. And I am epileptic, so I thought, ""Oh, this is never going to do."" So I called the student again and he said, ""You can turn it around. Just turn it so the strobe is facing another direction."" And I did, but then I still didn't have an email account, so then someone else came up to work on poems and I got an email. Then, I was so horrified at this transformation that I didn't do anything for another six months!",highlight;career,,,
,,"And then Robert Pinsky&#8212;I told him I had an email and he sent me a photo of one of his grandchildren. I opened this little thing and there was a photo. I thought, ""Wow."" So I learned certain skills. I still can't add an attachment. No, that's not what they are called. An app. I don't know how to add an app, so somebody has to do that when I&#8212;",highlight;career,,,
,DB:,Need an app.,highlight;career,,,
,LG:,"Yeah. Like, I wanted HBO because I couldn't&#8212;",highlight;career,,,
,DB:,HBO To Go?,highlight;career,,,
,LG:,"But then I have all of these names and passwords, and I can never remember what they are. Then they ask me, ""You say you want to change your password?"" Yes! And they ask me my special secret questions, which make absolutely no sense. ""What is your favorite pet's name?"" I didn't have pets. I mean, except when I was a child. And they say, ""Well, we can't change the question because the person who this is came up with this question."" And I think, ""How could I? I never would have.""",highlight;career,,,
,DB:,Right.,highlight;career,,,
,LG:,"I still haven't figured that out, but now I try to write down the passwords in my phonebook, because they're such a long list in my head I don't know which one is for which.",highlight;career,,,
,DB:,Right.,highlight;career,,,
,LG:,So all that stuff I hate.,highlight;career,,,
,DB:,"Yeah, it's such a daily part of life now. We all dislike it, and when it's new to someone, you also kind of realize how awful some of it is.",highlight;career,,,
[00:28:50],LG:,"I like the adventure of the mail and I like watching a lot of television. And when I had bronchitis this winter it was wonderful, because there it was in bed with me. I didn't have to go anywhere. I didn't have to sit in a chair.",highlight;career,,1507,0:25:07
,DB:,"You had it all right there. And you had endless stuff too, right?",,,,
,LG:,Yeah.,,,,
,DB:,You have Netflix?,,,,
,LG:,Everything.,,,,
,DB:,"Oh, okay. You're set.",,,,
,LG:,Yeah! And I have another thing&#8212;I own Breaking Bad. Because I didn't want to wait for the last season.,,,,
[00:29:30],DB:,"Yeah, it's worth it. That was a pretty intense season.",,,1547,0:25:47
,LG:,"Yeah. Once Gus died, the real spine went out of the show, in my view. But I loved it. I loved that show.",,,,
,DB:,I did too. We just finished that one.,,,,
,LG:,Oh yeah?,,,,
,DB:,"Not too long ago, yeah.",,,,
,LG:,What else have you liked?,,,,
,DB:,TV-wise? [To Kristin] What are we watching now?,,,,
,KRISTIN:,The Americans.,,,,
,DB:,The Americans is very good.,,,,
,LG:,Is it good?,,,,
,DB:,"Yeah, that's a very good one.",,,,
,LG:,Have you seen Friday Night Lights?,,,,
,DB:,"I've watched some of Friday Night Lights, but [to Kristin] you've never seen it, right?",,,,
,KRISTIN:,No.,,,,
,DB:,We need to do the whole thing.,,,,
,LG:,You have to start from the beginning.,,,,
,DB:,Yeah. I did it several years ago.,,,,
,LG:,"I loved that. I watched that at Stanford this year and I thought it was going to take me five weeks. I thought, ""This is going to last me the whole of my Stanford experience. It's going to be great."" And I finished in about two weeks, but then I didn't want to watch anything else. It's like when you read a really marvelous book. There was something about&#8212;I mean, I can watch things on demand&#8212;but there was something about the fact that I could do this anywhere. And if I went to a hotel, I could do it there. It was an amazing discovery for me. And I loved that show. I ended up watching the last season a second time. And then I still didn't want to watch anything else, so I watched the first season, and I was ready. But I have not found a new thing.",,,,
,DB:,Since then?,,,,
,LG:,"Since then. Well, it's been a month.",,,,
,DB:,Have you watched The Wire?,,,,
,LG:,"Oh, yes. I watched The Wire on TV at Frank's [Frank Bidart] house. Because he has equipment. He has lab-quality equipment.",,,,
,DB:,"Well, I'll think of some other ones, for sure.",,,,
,LG:,Okay.,,,,
,DB:,"Yeah, we should talk about it.",,,,
,LG:,"Yeah, if you think about it, let me know.",,,,
,DB:,I'll let you know&#8212;we watch a lot of TV.,,,,
,LG:,"Okay. I want a title for my book, and television recommendations.",,,,
,DB:,Okay.,,,,
,LG:,"All right, moving along. So far this is a dud of an interview, isn't it? We haven't had any technical discussion.",highlight;between;paper;mss;revision;,,,
,DB:,"No, it's good though! It's good. It's about being a person. I've got to kind of adjust on the fly, here, but I think I'll just skip these. Because you don't really write poems on the iPad. You never have them in digital format until they go to your publisher, essentially. And then they will&#8212;do you know how they do it?",highlight;between;paper;mss;revision;,,,
,LG:,"I send them a typed script, which is kind of harrowing because then I have to proof the digital and be sure there haven't been mistakes. And there are always huge mistakes. I could pay somebody to do it, but it would still be the same problem of having to proof it. I imagine that I'm stuck with that for life, because I cannot imagine typing poems on that board.",highlight;between;paper;mss;revision;,,,
,DB:,"So when you send it to FSG, and then someone types&#8212;or do they scan it? I mean, do you know how they do it?",highlight;between;paper;mss;revision;,,,
,LG:,No.,highlight;between;paper;mss;revision;,,,
,DB:,"Okay. Because I mean, there are ways they should be able to do it&#8212;",highlight;between;paper;mss;revision;,,,
,LG:,I can tell you who would know if you want to ask.,highlight;between;paper;mss;revision;,,,
,DB:,Yeah?,highlight;between;paper;mss;revision;,,,
,LG:,Do you want?,highlight;between;paper;mss;revision;,,,
,DB:,Maybe. I don't know.,highlight;between;paper;mss;revision;,,,
,LG:,All right.,highlight;between;paper;mss;revision;,,,
,DB:,"I'm just interested&#8212;once they do that, then they send it back to you and you make sure that everything is right? I mean, you go back and forth with them with the proofs for quite a bit, right?",highlight;between;paper;mss;revision;,,,
,LG:,"Yeah, right.",highlight;between;paper;mss;revision;,,,
,DB:,I remember when I was a student. I think you had&#8212;would it have been Vita Nova or Seven Ages you were working on?,highlight;between;paper;mss;revision;,,,
,LG:,I don't know.,highlight;between;paper;mss;revision;,,,
,DB:,You were telling me how you were reading it backwards.,highlight;between;paper;mss;revision;,,,
,LG:,"Oh yeah. I still do that. It's horrible, and you need someone to help you.",highlight;between;paper;mss;revision;,,,
,DB:,Right. And your poems are fairly memorized? Almost all of them?,highlight;between;paper;mss;revision;,,,
,LG:,Lots of them.,highlight;between;paper;mss;revision;,,,
,DB:,And especially when you're working in the book&#8212;like when you're going back through&#8212;you're hearing it?,highlight;between;paper;mss;revision;,,,
[00:33:42],LG:,"Your eye makes substitutions, so unless you read it out of order&#8212;i.e. backwards&#8212;you're going to be doing that.",highlight;between;paper;mss;revision;,,1799,0:29:59
,DB:,"Okay. That was the first section, but there's not much to it because it's mostly digital. But then this is more practice. So I've kind of delineated the writing process into kind of a three-step sort of thing. So there's the composition, there's the revision, and then there's the sort of the organizational-archival point. And that's just my kind of construction for this interview. If that doesn't make sense to you, we could talk about it in different ways.",,,,
,LG:,It's fine.,,,,
,DB:,"I have kind of like the beginning questions, which are kind of to give us an idea about the arc of your career. And this question I'm sure you'll love: How long have you been writing professionally, would you say?",career,,,
[00:34:29],LG:,"Well, I was trying to write professionally&#8212;I've been writing since I was a child. And I had a very high opinion of my early work, so I was sending books out to publishers in my early teens.",career,,1846,0:30:46
,DB:,Oh really?,career,,,
,LG:,"Well, they were uniformly rejected. But I did have that intense dream, and I developed&#8212;as anybody has to&#8212;a very tough skin. I mean, I had enormous vanity, so every time one was rejected, it didn't matter that I was 15 years old. I thought, ""I'm never going to write better than this. This is the climax of my vision and no one wants it."" That was hard, but I continued to send things out, and when I started working on what became my first book, I was in my late teens. And from the time I was, I think, 23, until it was published, I think, when I was 25&#8212;something like that&#8212;I had, I think, 28 rejections. A lot, but I had some poems in magazines. But all of that was in place by the time I was, probably, 12.",career,,,
,DB:,That sort of the ambition and drive?,career,,,
,LG:,"Yeah. And then there were long periods of not writing at all that were harrowing&#8212;and continue to be harrowing&#8212;and I had different mechanisms for trying to get through them. The greatest discovery was teaching. Because I finally learned after the first really lengthy&#8212;this is completely off the track of where you want to go, isn't it?",career;teaching,,,
,DB:,"No&#8212;my next question is ""Describe the arc of your career,"" so this is pretty much&#8212;",career;teaching,,,
[00:37:00],LG:,"Oh all right. Well, the first time that that happened&#8212;when the first one had been published&#8212;I had pretty much done what was in me to do. I had also evolved a style in which there were no complete sentences. There were just little bullet-like fragments. And every time I thought to write, I could no longer make the sentence so it was going to be grammatical. I could no longer, it struck me, write a sentence. So I realized, there was something about that particular wall that I had hit that had to do with syntax. And I thought, ""I have to write poems&#8212;like Milton's sonnet on this blindness&#8212;that are all one sentence, or as close to that as I can manage."" And I couldn't do it. I couldn't do anything that approached it, and I couldn't, at the same time, write fragments anymore.",career;prompt;teaching,,1997,0:33:17
,,"The more I couldn't write, the more I repudiated the world. I thought that the problem was that I was too worldly, too involved in the world, too diverse in my interests, so I became more and more hermetic and dedicated. I would sit at this&#8212;I was living in Provincetown for part of this time, and in New York City&#8212;and I would sit in Provincetown at a very beautiful desk that was made for me by my photographer boyfriend with all of these marvelous objects to gaze at, and it was just horrifying. And, you know, on a good day, I would write an article&#8212;""The."" And on a really good day, there would be a noun&#8212;""Tree."" But I couldn't get beyond that, and I thought, ""I have not consecrated myself sufficiently. There needs to be more foreswearing.""",career;prompt;teaching,,,
[00:39:27],,"And I had a bed-of-nails kind of life&#8212;just sitting in the sort of ""soup"" of my failure for a year. During that time, I had one or two teaching job offers. In those years, it was much easier because the economy was different then, you know. There weren't all of these MFA programs. And especially if you were female. I had a book out, but I don't know that I would have gotten a tenure-year track job given my spotty education. But I had these offers, and I kept saying, ""No, no, no, no,"" because poets shouldn't teach! I mean, there was that long list of things poet shouldn't do. They should never have children. They shouldn't teach. They shouldn't go out in the world. They couldn't eat. But finally, I was invited to do a colloquium in Vermont. And I hated Provincetown, but I didn't know how&#8212;I didn't want to just begin moving in a sort of pin-the-tail-on-the-map kind of way. I was making my living as a secretary, and I could have done that anywhere in that period, but I thought, ""I'll just stay here until the future presents itself.""",career;prompt;highlight;teaching,,2144,0:35:44
,,"So I went to do this colloquium, partly because John Berryman was there and he was a hero of mine, and I wanted to be able to pay tribute to him. I wanted to say, ""You are a great artist and I salute you."" Which I did get to say, but he thought I was just, you know, a chick on the make. I didn't know how to say to him, ""You don't understand&#8212;I've never said these words."" In any case, I realized about the minute I got to Vermont, I thought, ""I'm supposed to live here."" I just instantly loved the place. It was a four-day thing, and there were all these English teachers at Goddard College&#8212;a hippie institution with a naked dorm and things like that&#8212;and they said, ""You should come here and teach."" I thought, ""Why not? I'm not a poet. I have to face this disastrous fact and make a life."" So I said yes. And of course they weren't empowered to offer me a job. They were just drunken English teachers who liked me.",career;prompt;highlight;teaching,,,
,,"But by then, I had had a sort of epiphany, and I corresponded with two of those people who are my still oldest, dearest friends&#8212;Ellen Voigt and prose writer Kathryn Davis. Three days before the semester started, there was a job cobbled together for me for one semester, and I moved to Vermont and I got a room in a rooming house with a bathroom down the hall. The minute I started teaching, I started writing again. I still feel about teaching that it's the most miraculous thing I've ever discovered, because I can't always write, and long periods go by and I don't write. But I can always teach, and I will always meet people who fascinate me and who are doing things, who have minds that go places my mind has never gone. And I won't find that stuff in books by dead people I'm contemporaries&#8212;new sounding stuff. It changes me and electrifies me, and to work on material that is still malleable&#8212;it was like the experience of working on my own stuff, but I didn't feel competitive. A lot of that was so strange, because I am very competitive by nature, but not with my students, and I wanted those poems to be as great as they could be, in my view. So, still, that has served me very well, especially once I discovered undergraduates, because I could know them for four years, and Williams was nirvana, you know. I got there and I thought, ""I'd never been around such smart people."" I was terrified, but I also was thrilled. And a lot of those years were years when I couldn't do anything, but then some of them were years when I was writing a blue streak. And it was never, ""I teach one semester, and then I write,"" or, ""I teach, and I write in between classes."" No&#8212;I mean, if I was writing, I would write when I taught. In fact, after the experience in Provincetown at the sacred desk, I have a horror of the special place&#8212;the secluded cabin, the writer's retreat. I just can't bear them. I want to be without tools. I often have no pencil and no paper, so I have to borrow them or buy them. But I don't want to presume anything. If there's going to be a line coming into my head, that'll be great.",career;prompt;highlight;teaching,,,
,,"So the shape has always been periods in the desert&#8212;you know, without language&#8212;and then work. After I was 50, most of my books were written very fast. Like in six to eight weeks.",career;prompt;highlight;mss;teaching,,,
[00:46:42],DB:,Which book did that start with?,career;prompt;highlight;mss;teaching,,2579,0:42:59
,LG:,"The Wild Iris. After that, I thought, ""I can do anything. I can fly planes."" And I can remember my husband saying, ""You are going to really hit the wall very soon,"" and he was right. I developed neurological symptoms. I had not slept the whole of that summer, practically, and one side of my face started twitching. And I had to teach that fall, and I remember sitting in class like this so that nobody would see that my face was&#8212;",career;prompt;highlight;mss;teaching,,,
,DB:,"Oh, wow.",career;prompt;highlight;mss,,,
,LG:,"The neurologist said, ""I don't think this is anything. It will probably go away in a couple of months."" Which it did. But every so often I think something like that could come back again, you know? I mean, it's weird to write that fast, and you don't have a sense of agency. It's very hard to revise, because you don't remember writing it. You just were sitting there, and then it was. The last two books&#8212;Village Life and the new one&#8212;were slower, but they were steady, especially Village Life. With the newer one, there were lots of moments when I thought, ""This is never going to be a book. I don't know how to put this material together.""",career;prompt;highlight;mss,,,
[00:48:40],DB:,"If you could think back to before you hit this sort of stride where you were producing books very quickly, what was it like, say, writing House on Marshlands?",career;mss;revision,,2697,0:44:57
,LG:,"Long. It took many years. I revised poems heavily and constantly. One poem, I remember, took two years to write&#8212;""For my mother."" The opening lines&#8212;""It was better when we were together in one body""&#8212;I had those lines in my head for a really long time. And at the beginning, I felt very grateful, because I thought, ""Oh, two really beautiful lines&#8212;this is going to be a poem. This is exciting. I have at least these lines to cling to."" And then time went by and nothing happened&#8212;no other language attached to that little shard. So those phrases, that language, became a torment. It was the first thing I would hear in the morning and murmured in my head, and the last thing I would hear at night. But it was a chastisement, a torment&#8212;""You don't know what I'm for!""",career;mss;revision,,,
,DB:,Right.,career;mss;revision,,,
,LG:,"And I tried to convince myself it was a haiku, you know? I thought, ""Well, maybe it's just a very austere, abbreviated poem,"" but I didn't think that and nobody I showed it to thought that, either. So that took really a very, very, very, very long time to write, and had lots of different approaches, and ended up being a kind of collage of pieces of language from different old poems.",career;mss;revision,,,
,DB:,"During that time, you just were working on the one poem?",career;mss;revision,,,
,LG:,"I was for a long time, yeah.",career;mss;revision,,,
,DB:,"So there weren't other poems coming in and out at this stage? Is that traditionally how you work? It's just one poem, and then the next poem, and then you finish?",career;prompt;revision;mss,,,
,LG:,"Yeah, and then sometimes there will be a massive revision. One edition to an accumulating manuscript makes it clear how the thing should be ordered, and then you see you can make a lot of short, little changes in the other stuff because of this new thing. So some of the books are slower. The earlier books were revised much more&#8212;the later books, less. Though there were revisions in all of them, and though most of them preceded, at some point, rapidly from, I would say, Averno on, there were hiatuses. Averno was written in two fast periods.",career;prompt;revision;mss,,,
,DB:,"And is one October? Because that was such a good chapbook, and then&#8212;",career;prompt;revision;mss,,,
,LG:,"Yeah. I had ""October"" and I had ""Prism,"" and I thought, ""These two poems can't be in the same book. I mean, they are just complete opposites."" Then there were two years when I wrote nothing. I haven't attended to this in recent years, but for many decades, I kept this chart of what I wrote and when, and each year would be written at the top of&#8212;no, the years were like that and the months were like that. And if I wrote a poem then I would write its name, and if I wrote nothing, I would write an X.",career;prompt;revision;mss,,,
[00:53:07],,"So when I got depressed, I would take this thing out and I would see all these lines of X's, and then at the end, there would be a little gust, and the little gust would be completely different from what had preceded the X's. So I began to be&#8212;I mean, ""trust"" is a little strong, but&#8212;I just figured this is how it goes with me. There's a period usually now after I finish something of being happy, because I don't have to write. I feel kind of on vacation, and I have a sense of secret pleasure because no one has seen it and no one has anything to say about it, but I love it and it's finished. Last year was such a happy year for that reason, because&#8212;[neighbor's dog barking in background]&#8212;that's on tape!",career;prompt;revision;mss,,2964,0:49:24
[00:54:20],DB:,I'll send you little clips.,career;prompt;revision;mss,,3037,0:50:37
,LG:,Yeah! I'll give it to them. They made me take my plants&#8212;I had this beautiful antique trunk in the hall with a Celadon vase of pussy willow.,career;prompt;revision;mss,,,
,DB:,"Yeah, I remember that.",career;prompt;revision;mss,,,
